area,item,amount [t]
Albania,"Beverages, Alcoholic",3946.3862089328913
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,33980.798821975324
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",3999.183002339758
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283298.02325918287
Albania,"Cereals, Other",917.704152331136
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.15026069247
Albania,Copra Cake,16.95697678596091
Albania,Cotton lint,248.86299231884686
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.0
Albania,Cottonseed Oil,72.0
Albania,Dates,15000.0
Albania,Eggs,53539.13948499468
Albania,"Fats, Animals, Raw",3993.474022301676
Albania,"Fish, Seafood",21756.156368428048
Albania,Fodder crops,6408178.905014191
Albania,"Fruits, Other",166561.9921189143
Albania,Goats,748407.1213070602
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203951.46610078504
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,1000.6463552194064
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,13906.147182324887
Albania,Honey,5000.0
Albania,Hops,1801.7247935023422
Albania,Horses,2.9778305327866668
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9498.76188765736
Albania,Maize Germ Oil,1744.1434623292027
Albania,Maize and products,478303.5066677753
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1072046.0291643823
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,23994.0783801508
Albania,Nuts and products,16877.498862234268
Albania,Oats,36000.0
Albania,"Offals, Edible",14210.613176780056
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",3691.0142090038016
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",638.8028475728155
Albania,Olive Oil,13816.825191258624
Albania,Olives (including preserved),139818.4895075656
Albania,Onions,106687.0
Albania,"Oranges, Mandarines",63454.99699563734
Albania,Palm Oil,1974.5080872212884
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,0.0
Albania,Pepper,0.0
Albania,Pigmeat,14165.887723443184
Albania,Pigs,169650.29576587217
Albania,Pimento,0.0
Albania,Pineapples and products,995.6261940907782
Albania,Plantains,0.0
Albania,Potatoes and products,263283.40043132217
Albania,Poultry Birds,10906287.120117342
Albania,Poultry Meat,38283.24825877817
Albania,"Pulses, Other and products",3550.6638730912127
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,24266.561935847563
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,3000.0
Albania,Seed cotton,691.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,1218800.193158632
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,20561.096478098672
Albania,Soyabean Oil,1027.8109710680096
Albania,Soyabeans,441.0
Albania,"Spices, Other",343.0
Albania,Sugar (Raw Equivalent),50437.89635205605
Albania,Sugar beet,27000.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,1000.0
Albania,Sunflowerseed Cake,1637.7108041531858
Albania,Sunflowerseed Oil,16706.66386013131
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",51009.79211094856
Albania,Tea (including mate),0.0
Albania,Tobacco,4231.7775198613035
Albania,Tomatoes and products,318926.9999999572
Albania,"Vegetables, Other",878142.6435614629
Albania,Wheat and products,483443.58176850306
Albania,Wine,5962.92491378081
Albania,Wool (Clean Eq.),2829.9412733826803
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",1939.6600671687966
Algeria,Apples and products,571637.1020901597
Algeria,Asses,0.0
