area,item,amount [t]
Albania,Beer,82407.8028854307
Albania,"Beverages, Alcoholic",3856.555801591959
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,34010.91216644794
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",4005.7219700049
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283602.58368620794
Albania,"Cereals, Other",956.8207563262872
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.15026069247
Albania,Copra Cake,16.95697678596091
Albania,Cotton lint,248.86297459836175
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.015213611859416
Albania,Cottonseed Oil,126.70418834467365
Albania,Dates,15013.525473030684
Albania,Eggs,54806.34633744716
Albania,"Fats, Animals, Raw",3995.1230498817504
Albania,"Fish, Seafood",21756.156368428048
Albania,Fodder crops,6408178.905014191
Albania,"Fruits, Other",166560.2466138252
Albania,Goats,748625.4362871443
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203883.25305524253
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,1000.1346771586199
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,13915.97383711902
Albania,Honey,5000.0
Albania,Hops,1801.735113635004
Albania,Horses,2.9761357057618882
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9489.57625763146
Albania,Maize Germ Oil,1711.2569701528732
Albania,Maize and products,519815.07969258184
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1073683.3607208796
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,24000.021710803354
Albania,Nuts and products,16823.12582765883
Albania,Oats,36071.3380041692
Albania,"Offals, Edible",14230.532323623678
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",3691.28800726635
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",635.3716912330364
Albania,Olive Oil,13816.825227328452
Albania,Olives (including preserved),139818.4895075656
Albania,Onions,106686.93619954727
Albania,"Oranges, Mandarines",63081.5167224579
Albania,Palm Oil,1974.508086331092
Albania,Palm kernels,0.0
Albania,Palmkernel Cake,0.0
Albania,Palmkernel Oil,0.0
Albania,Peas,1.604294380663316
Albania,Pepper,0.0
Albania,Pigmeat,14153.462694110429
Albania,Pigs,170225.54582663544
Albania,Pimento,0.0
Albania,Pineapples and products,919.5870333051168
Albania,Plantains,0.0
Albania,Potatoes and products,263928.1462114046
Albania,Poultry Birds,11211328.001073143
Albania,Poultry Meat,38291.17645397301
Albania,"Pulses, Other and products",3537.2376271069797
Albania,Rabbits and hares,0.0
Albania,Rape and Mustard Cake,0.0
Albania,Rape and Mustard Oil,0.0
Albania,Rape and Mustardseed,0.0
Albania,Rice and products,20618.68822590461
Albania,Ricebran Oil,0.0
Albania,"Rodents, other",0.0
Albania,"Roots, Other",0.0
Albania,Rubber,0.0
Albania,Rye and products,3000.1579194112564
Albania,Seed cotton,691.0
Albania,Sesame seed,0.0
Albania,Sesameseed Cake,0.0
Albania,Sesameseed Oil,0.0
Albania,Sheep,1219153.598970254
Albania,Silk,0.0
Albania,Sisal,0.0
Albania,"Soft-Fibres, Other",0.0
Albania,Sorghum and products,0.0
Albania,Soyabean Cake,20561.096478098672
Albania,Soyabean Oil,1027.8213737687347
Albania,Soyabeans,441.0
Albania,"Spices, Other",343.0
Albania,Sugar (Raw Equivalent),50414.22420151899
Albania,Sugar beet,27000.0
Albania,Sugar cane,0.0
Albania,Sugar non-centrifugal,0.0
Albania,Sunflower seed,1000.0
Albania,Sunflowerseed Cake,1637.7108041531858
Albania,Sunflowerseed Oil,16706.70849786116
Albania,Sweet potatoes,0.0
Albania,"Sweeteners, Other",51005.85492758583
Albania,Tea (including mate),0.0
Albania,Tobacco,4231.7775198613035
Albania,Tomatoes and products,318858.9983082168
Albania,"Vegetables, Other",878144.0666473024
Albania,Wheat and products,246302.7528160076
Albania,Wine,5967.082308110309
Albania,Wool (Clean Eq.),2830.6407314227104
Albania,Yams,0.0
Algeria,Abaca,0.0
Algeria,"Alcohol, Non-Food",2343.197524071354
Algeria,Apples and products,571616.5204499322
Algeria,Asses,0.0
Algeria,Bananas,249197.9779769325
Algeria,Barley and products,1962111.4565467348
Algeria,Beans,48564.56522862618
Algeria,Beer,157198.59803520536
Algeria,"Beverages, Alcoholic",3616.3797665154143
Algeria,"Beverages, Fermented",0.0
Algeria,Bovine Meat,165729.39233008504
Algeria,Buffaloes,0.0
Algeria,"Butter, Ghee",16653.333760012865
Algeria,"Camelids, other",0.0
Algeria,Camels,46058.485271370286
Algeria,Cassava and products,1987.232139070087
Algeria,Cattle,642985.7969755748
Algeria,"Cereals, Other",6975.625947264871
Algeria,"Citrus, Other",1000.0
Algeria,Cloves,1999.9999999999995
Algeria,Cocoa Beans and products,1982.0354611558862
Algeria,Coconut Oil,1911.328622146367
Algeria,Coconuts - Incl Copra,999.38032416344
Algeria,Coffee and products,84997.12200125384
Algeria,Copra Cake,86.66899246157797
Algeria,Cotton lint,7945.387296641152
Algeria,Cottonseed,54.0
Algeria,Cottonseed Cake,35.86663578153783
Algeria,Cottonseed Oil,25.993939046526467
Algeria,Dates,1152006.426936075
Algeria,Eggs,289976.27295486885
Algeria,"Fats, Animals, Raw",11926.559519980286
Algeria,"Fish, Seafood",108267.29832037084
Algeria,Fodder crops,4094070.5140631963
Algeria,"Fruits, Other",962682.14471251
Algeria,Goats,1846118.1981587983
Algeria,Grapefruit and products,2000.0
Algeria,Grapes and products (excl wine),582912.0446880091
Algeria,Grazing,22232517.0
Algeria,Groundnut Cake,32768.790650368355
Algeria,Groundnut Oil,29283.995219274682
Algeria,Groundnuts,100417.12050845903
Algeria,"Hard Fibres, Other",0.0
Algeria,Hides and skins,73230.305731283
Algeria,Honey,5000.0
Algeria,Hops,0.0
Algeria,Horses,2757.028358318252
Algeria,Jute,0.0
Algeria,Jute-Like Fibres,0.0
Algeria,"Lemons, Limes and products",85000.0
Algeria,Maize Germ Oil,471.77025762607923
