area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Bosnia and Herzegovina,Soyabeans,466024.416302582,-439300.45281136065,-1.0,3340974.0,-131.48873735963244
"China, Taiwan Province of",Sorghum and products,4093632.5318577415,-4059239.7183099478,-1.0,23800896.0,-170.54986998430428
Bahamas,Sorghum and products,70926.09073906601,-70926.09073906601,-1.0,405779.0,-174.78994905864033
Saint Kitts and Nevis,Soyabean Cake,8484.461193899302,-8484.461193899302,-1.0,47681.0,-177.9421822927225
Gabon,Sorghum and products,419439.6710195129,-419439.6710195129,-1.0,2267995.0,-184.93853426463153
Mexico,Rabbits and hares,29732114.877165586,-25388557.490449235,-1.0,125610461.0,-202.12136225221906
Eswatini,Sunflower seed,250305.9351346048,-250305.9351346048,-1.0,1174222.0,-213.16747185336743
Bahamas,Soyabeans,95767.68909060957,-95767.68909060957,-1.0,405779.0,-236.00947582454876
Solomon Islands,Soyabeans,162814.1827165043,-162814.1827165043,-1.0,682897.0,-238.4168955442831
French Polynesia,Sorghum and products,74504.12617257805,-74504.12617257805,-1.0,300742.0,-247.73435759746909
Mauritius,Soyabeans,737935.9816493827,-737363.6452806825,-1.0,1296960.0,-568.5322949672176
Mexico,Pigs,90769185.8053574,-71965294.08601649,-1.0,125610461.0,-572.9243688232025
France,Sorghum and products,41091179.796767235,-40560647.30898608,-1.0,64457760.0,-629.2593367964708
Zambia,Soyabeans,13666133.070643064,-13368936.88112117,-1.0,18654918.0,-716.6440978792386
Mauritius,Sorghum and products,979331.6023349336,-979331.6023349336,-1.0,1296960.0,-755.0977688864218
Brazil,Sorghum and products,218816981.71887335,-216044934.5062056,-1.0,212564935.0,-1016.371465529842
Italy,Sorghum and products,81820214.20832613,-81344150.41636966,-1.0,59639898.0,-1363.9216890741438
Saint Kitts and Nevis,Poultry Birds,85294.71058258286,-68492.8978745708,-1.0,47681.0,-1436.4819922940123
Argentina,Sorghum and products,82072760.03617509,-80234760.03617509,-1.0,44908441.0,-1786.6298239160672
Eswatini,Sorghum and products,2306658.1988823395,-2302412.659333624,-1.0,1174222.0,-1960.7984344814047
Saint Kitts and Nevis,Soyabeans,307669.66361391055,-307669.66361391055,-1.0,47681.0,-6452.668014804861
Mexico,Sorghum and products,3388742532.415658,-3383441419.747092,-1.0,125610461.0,-26935.984414125283
Mexico,Poultry Birds,11858305790.15812,-10056240991.428465,-1.0,125610461.0,-80058.94502232951
