area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,Onions,345387.2973623545,665.7026376454742,0.0019237013915367474,0.017369466384957517
Afghanistan,"Oranges, Mandarines",144042.0840873144,-2.0986909852945246,-1.4570197154117892e-05,-5.475889753181368e-05
Afghanistan,Palm Oil,155297.67303861567,0.0,0.0,0.0
Afghanistan,Palm kernels,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Cake,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Oil,0.0,0.0,0.0,0.0
Afghanistan,Peas,27244.894054304095,-117.22716311967088,-0.004321313867126753,-0.003058682892428972
Afghanistan,Pepper,0.0,0.0,0.0,0.0
Afghanistan,Pigmeat,0.0,0.0,0.0,0.0
Afghanistan,Pigs,0.0,0.0,0.0,0.0
Afghanistan,Pimento,2995.077398474719,-0.001127190913848608,-3.763479829999028e-07,-2.941058601896325e-08
Afghanistan,Pineapples and products,943.3500618725373,0.7480674994147876,0.0007923620184614455,1.951852456334145e-05
Afghanistan,Plantains,0.0,0.0,0.0,0.0
Afghanistan,Potatoes and products,938202.8427928684,0.0,0.0,0.0
Afghanistan,Poultry Birds,33425449.050717853,458205.2611660287,0.013522899771921115,11.955459436638936
Afghanistan,Poultry Meat,62029.893118454274,482.20151136023924,0.007713731466138629,0.012581567908414802
Afghanistan,"Pulses, Other and products",67415.7441781989,400.6769334174169,0.005908258307496972,0.01045443435651227
Afghanistan,Rabbits and hares,0.0,0.0,0.0,0.0
Afghanistan,Rape and Mustard Cake,883.0776930398524,11.593760640847108,0.012958679516542171,0.0003025035869449006
Afghanistan,Rape and Mustard Oil,1743.8114837476944,0.0,0.0,0.0
Afghanistan,Rape and Mustardseed,0.0,0.0,0.0,0.0
Afghanistan,Rice and products,264693.0424380241,636311.2912794123,0.7062244513897817,16.602589443445634
Afghanistan,Ricebran Oil,0.0,0.0,0.0,0.0
Afghanistan,"Rodents, other",0.0,0.0,0.0,0.0
Afghanistan,"Roots, Other",0.0,0.0,0.0,0.0
Afghanistan,Rubber,0.0,0.0,0.0,0.0
Afghanistan,Rye and products,0.0,0.0,0.0,0.0
Afghanistan,Seed cotton,74061.99999999988,0.0,0.0,0.0
Afghanistan,Sesame seed,41999.99999999979,0.0,0.0,0.0
Afghanistan,Sesameseed Cake,3381.9999999999845,0.0,0.0,0.0
Afghanistan,Sesameseed Oil,1999.999999999991,0.0,0.0,0.0
Afghanistan,Sheep,6920678.337669633,-1.1113940151408315,-1.6059035545801237e-07,-2.899841444929399e-05
Afghanistan,Silk,555.99817272134,0.0,0.0,0.0
Afghanistan,Sisal,0.0,0.0,0.0,0.0
Afghanistan,"Soft-Fibres, Other",0.0,0.0,0.0,0.0
Afghanistan,Sorghum and products,1052.9770012174558,5.629772203974426e-10,5.346834086594754e-13,1.4689162025519696e-14
Afghanistan,Soyabean Cake,22015.500917250305,0.0,0.0,0.0
Afghanistan,Soyabean Oil,5225.26951175824,0.0,0.0,0.0
Afghanistan,Soyabeans,7757.998909120939,9.094947017729282e-13,1.1102230246251565e-16,2.3730471769821805e-17
Afghanistan,"Spices, Other",19975.55535028976,-0.3070262294495478,-1.5370333548148096e-05,-8.01090677751565e-06
Afghanistan,Sugar (Raw Equivalent),750615.5688905474,0.0,0.0,0.0
Afghanistan,Sugar beet,5000.0,0.0,0.0,0.0
Afghanistan,Sugar cane,40000.0,0.0,0.0,0.0
Afghanistan,Sugar non-centrifugal,0.0,0.0,0.0,0.0
Afghanistan,Sunflower seed,6558.0011061129935,0.0,0.0,0.0
Afghanistan,Sunflowerseed Cake,4623.541640973718,0.0,0.0,0.0
Afghanistan,Sunflowerseed Oil,99404.9031902451,0.0,0.0,0.0
Afghanistan,Sweet potatoes,0.0,0.0,0.0,0.0
Afghanistan,"Sweeteners, Other",17857.27861340196,138.16995930859775,0.007678050299792294,0.0036051208571292234
Afghanistan,Tea (including mate),14977.241131834988,0.0,0.0,0.0
Afghanistan,Tobacco,0.0,0.0,0.0,0.0
Afghanistan,Tomatoes and products,16285.158175279375,713.8417351530225,0.04199316071029169,0.01862550833022746
