area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Afghanistan,Wheat and products,8018997.987012871,-496222.644516496,-0.06596270949543315,38326027.0,-12.947406328250407
Nepal,Poultry Birds,303446828.86392456,-619450.957621336,-0.002045557973998635,28999227.0,-21.36094722874289
Zimbabwe,Poultry Birds,64280344.23550721,-943994.4379783049,-0.014904465460924499,15505226.0,-60.882339798098066
