area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Colombia,Soyabeans,27689796.58908253,-27406918.230268527,-1.0,50617028.0,-541.4564883238212
Cuba,Soyabean Cake,6621228.850076874,-6164045.504092094,-1.0,11309236.0,-545.045262482107
Belarus,Poultry Birds,414873149.7525238,-5393743.538405061,-0.013172197323116697,9661044.0,-558.298206529756
Cabo Verde,Poultry Birds,899841.2260277115,-332256.8814579282,-0.5853876778609384,579933.0,-572.9228746388432
Slovenia,Soyabeans,1270378.7879099909,-1265967.1838611322,-1.0,2116252.0,-598.211925546264
Netherlands,Poultry Birds,682326662.729192,-11488826.011965632,-0.017126085296838234,17402277.0,-660.1909630541816
Spain,Poultry Birds,750720418.9352503,-35513636.80847967,-0.049655061579358506,47329954.0,-750.341671755685
Switzerland,Poultry Birds,83717231.05889079,-6486691.83918789,-0.08399127993570987,8606431.0,-753.7028809256578
Switzerland,Soyabeans,6505071.400204302,-6492892.92841674,-1.0,8606431.0,-754.4233990160079
Viet Nam,Soyabeans,75764780.41168858,-74553724.41319694,-1.0,96203595.0,-774.9577800413481
Gabon,Soyabean Cake,1905649.0282911332,-1899221.2122506201,-1.0,2267995.0,-837.4009696893601
Chile,Poultry Birds,298287941.3597687,-16303699.558316171,-0.05781776830563379,19206688.0,-848.8553340542717
United Kingdom,Soyabeans,58493277.40582663,-57907395.18760314,-1.0,66951174.0,-864.9197874798004
Ireland,Poultry Birds,103106519.7000778,-4442688.101917937,-0.045028538117313444,4925074.0,-902.0550964143762
Dominican Republic,Soyabeans,10014101.491600469,-9999671.674208062,-1.0,10939347.0,-914.1013329413594
Viet Nam,Poultry Birds,816397649.6940995,-90314684.52686143,-0.1243861774199031,96203595.0,-938.787001949994
Guinea,Soyabeans,12760082.80125227,-12760082.80125227,-1.0,13041586.0,-978.414956681823
Colombia,Poultry Birds,1069352793.142156,-51511007.360084176,-0.05060806903354331,50617028.0,-1017.6616327628752
Denmark,Soyabean Cake,7434396.190463419,-5990753.556851349,-1.0,5810778.0,-1030.9727125784789
Barbados,Soyabean Cake,308123.3697099154,-297974.41160165094,-1.0,280427.0,-1062.5739019482824
New Zealand,Poultry Birds,114743217.6007574,-5497585.100729838,-0.05032315686147415,5026496.0,-1093.7211729065016
Spain,Soyabeans,55803599.07485299,-53303492.24485734,-1.0,47329954.0,-1126.2105229355882
Nicaragua,Soyabeans,7734085.482744737,-7724085.482744737,-1.0,6709705.0,-1151.1810851214377
Saudi Arabia,Soyabeans,46774813.64613373,-46311308.026516475,-1.0,36229972.0,-1278.2595588679028
Uruguay,Cattle,6513815.26520194,-4389515.177704392,-1.0,3428271.0,-1280.3874541144478
Afghanistan,Soyabeans,50812279.76104811,-50804521.762138985,-1.0,38326027.0,-1325.588007390878
United Kingdom,Poultry Birds,1009681844.8537146,-89622931.17546678,-0.09740999173321274,66951174.0,-1338.6312116866955
Slovenia,Poultry Birds,42772317.03932393,-2872871.330571465,-0.0720027879971592,2116252.0,-1357.5279931555717
Haiti,Soyabeans,15569851.793082548,-15569851.793082548,-1.0,11234508.0,-1385.8952962677624
Guatemala,Poultry Birds,253152941.4168719,-25329809.90827182,-0.11118190563242103,17231172.0,-1469.9992495154606
