area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Bahamas,Sorghum and products,70918.2749355849,-70918.2749355849,-1.0,405779.0,-174.7706878265876
Saint Kitts and Nevis,Soyabean Cake,8485.366565377375,-8485.366565377375,-1.0,47681.0,-177.96117039024716
Gabon,Sorghum and products,419401.2758799256,-419401.2758799256,-1.0,2267995.0,-184.92160515341772
Mexico,Rabbits and hares,29732637.528709304,-25389080.141992953,-1.0,125610461.0,-202.12552314407122
Eswatini,Sunflower seed,250283.68592987856,-250283.68592987856,-1.0,1174222.0,-213.1485238139624
Bahamas,Soyabeans,95763.04495815956,-95763.04495815956,-1.0,405779.0,-235.99803084476912
Solomon Islands,Soyabeans,162801.0933740324,-162801.0933740324,-1.0,682897.0,-238.39772816988858
French Polynesia,Sorghum and products,74495.90922075433,-74495.90922075433,-1.0,300742.0,-247.7070353351189
Mauritius,Soyabeans,737911.6406407172,-737339.304272017,-1.0,1296960.0,-568.5135272267587
Mexico,Pigs,90770781.17639016,-71966889.45704925,-1.0,125610461.0,-572.9370697640322
France,Sorghum and products,41086910.34599901,-40556377.85821786,-1.0,64457760.0,-629.1931003841563
Zambia,Soyabeans,13666329.69896222,-13369133.509440327,-1.0,18654918.0,-716.6546381731791
Mauritius,Sorghum and products,979223.2108185478,-979223.2108185478,-1.0,1296960.0,-755.0141953634251
Brazil,Sorghum and products,218791865.71182057,-216019818.4991528,-1.0,212564935.0,-1016.2533086614347
Italy,Sorghum and products,81825547.33784042,-81349483.54588395,-1.0,59639898.0,-1364.0111112511286
Saint Kitts and Nevis,Poultry Birds,85285.89741770166,-68484.0847096896,-1.0,47681.0,-1436.2971563031313
Argentina,Sorghum and products,82062673.06894287,-80224673.06894287,-1.0,44908441.0,-1786.4052120834672
Eswatini,Sorghum and products,2306448.068282074,-2302202.5287333583,-1.0,1174222.0,-1960.6194814382275
Saint Kitts and Nevis,Soyabeans,307690.1648989932,-307690.1648989932,-1.0,47681.0,-6453.0979824037495
Mexico,Sorghum and products,3388802060.3023043,-3383500947.633738,-1.0,125610461.0,-26936.458322796367
Mexico,Poultry Birds,11858514284.733688,-10056449486.004034,-1.0,125610461.0,-80060.60487274251
