,area,item,amount [t],comm_group,group
82,Afghanistan,"Pulses, Other and products",67816.4211116163,"Vegetables, fruit, nuts, pulses, spices",Primary crops
83,Afghanistan,Rabbits and hares,0.0,Live animals,Livestock
84,Afghanistan,Rape and Mustard Cake,883.0776930398524,Oil cakes,Crop products
85,Afghanistan,Rape and Mustard Oil,1743.8114837476944,Vegetable oils,Crop products
86,Afghanistan,Rape and Mustardseed,0.0,Oil crops,Primary crops
87,Afghanistan,Rice and products,540047.9269260002,Cereals,Primary crops
88,Afghanistan,Ricebran Oil,0.0,Vegetable oils,Crop products
89,Afghanistan,"Rodents, other",0.0,Live animals,Livestock
90,Afghanistan,"Roots, Other",0.0,Roots and tubers,Primary crops
91,Afghanistan,Rubber,0.0,"Tobacco, rubber",Primary crops
92,Afghanistan,Rye and products,0.0,Cereals,Primary crops
93,Afghanistan,Seed cotton,74061.99999999988,Oil crops,Primary crops
94,Afghanistan,Sesame seed,41999.999999999796,Oil crops,Primary crops
95,Afghanistan,Sesameseed Cake,3381.9999999999845,Oil cakes,Crop products
96,Afghanistan,Sesameseed Oil,1999.999999999991,Vegetable oils,Crop products
97,Afghanistan,Sheep,6920585.779189352,Live animals,Livestock
98,Afghanistan,Silk,555.99817272134,"Hides, skins, wool",Livestock products
99,Afghanistan,Sisal,0.0,Fibre crops,Primary crops
100,Afghanistan,"Soft-Fibres, Other",0.0,Fibre crops,Primary crops
101,Afghanistan,Sorghum and products,1052.4694027721325,Cereals,Primary crops
102,Afghanistan,Soyabean Cake,21885.815280388866,Oil cakes,Crop products
103,Afghanistan,Soyabean Oil,5221.789069818465,Vegetable oils,Crop products
104,Afghanistan,Soyabeans,7753.836443081543,Oil crops,Primary crops
105,Afghanistan,"Spices, Other",19975.24832406031,"Vegetables, fruit, nuts, pulses, spices",Primary crops
106,Afghanistan,Sugar (Raw Equivalent),750615.2612556724,"Sugar, sweeteners",Crop products
107,Afghanistan,Sugar beet,5000.0,Sugar crops,Primary crops
108,Afghanistan,Sugar cane,40000.0,Sugar crops,Primary crops
109,Afghanistan,Sugar non-centrifugal,0.0,"Sugar, sweeteners",Crop products
110,Afghanistan,Sunflower seed,6558.0011061129935,Oil crops,Primary crops
111,Afghanistan,Sunflowerseed Cake,4623.541640973718,Oil cakes,Crop products
112,Afghanistan,Sunflowerseed Oil,99404.9031902451,Vegetable oils,Crop products
113,Afghanistan,Sweet potatoes,0.0,Roots and tubers,Primary crops
